Unnamed: 0,pref,week,regnames,date,year,month,hol,tmean,totdeath_all,totdeath_age0059,totdeath_age6069,totdeath_age7079,totdeath_age8089,totdeath_age9099,pwind,pwind_cat,typhoon_no,typhoon_name,totpop_all,totpop_6099,totpop_6069,totpop_7079,totpop_8099,income,med4_ratio,flood_per,landslide_per
1,1,1,Hokkaido,2010/1/1,2010,1,1,0.285714286,176,9,20,38,81,28,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
2,1,2,Hokkaido,2010/1/8,2010,1,1,-3,1219,68,67,214,466,404,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
3,1,3,Hokkaido,2010/1/15,2010,1,0,-3.714285714,346,25,31,51,140,99,0,none,2010018N07113,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
4,1,4,Hokkaido,2010/1/22,2010,1,0,-2,1337,78,141,200,569,349,0,none,2010018N07113,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
5,1,5,Hokkaido,2010/1/29,2010,1,0,-5.142857143,2515,83,152,342,1078,860,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
6,1,6,Hokkaido,2010/2/5,2010,2,1,-3.428571429,363,31,43,71,130,88,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
7,1,7,Hokkaido,2010/2/12,2010,2,0,-5.285714286,358,22,30,76,145,85,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
8,1,8,Hokkaido,2010/2/19,2010,2,0,0.571428571,400,18,29,87,173,93,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
9,1,9,Hokkaido,2010/2/26,2010,2,0,-1.285714286,1670,162,215,435,540,318,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
10,1,10,Hokkaido,2010/3/5,2010,3,0,-1.285714286,297,15,15,53,116,98,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
11,1,11,Hokkaido,2010/3/12,2010,3,0,0.142857143,424,30,37,84,149,124,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
12,1,12,Hokkaido,2010/3/19,2010,3,1,1.857142857,1259,128,104,292,509,226,0,none,2010078N03153,OMAIS,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
13,1,13,Hokkaido,2010/3/26,2010,3,0,0.714285714,289,13,27,64,100,85,0,none,2010078N03153,OMAIS,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
14,1,14,Hokkaido,2010/4/2,2010,4,0,4.714285714,326,23,41,76,106,80,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
15,1,15,Hokkaido,2010/4/9,2010,4,0,5.142857143,1529,129,163,308,574,355,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
16,1,16,Hokkaido,2010/4/16,2010,4,0,5.285714286,830,62,105,168,279,216,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
17,1,17,Hokkaido,2010/4/23,2010,4,1,6.285714286,405,36,47,84,157,81,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
18,1,18,Hokkaido,2010/4/30,2010,4,1,12.85714286,242,19,19,35,117,52,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
19,1,19,Hokkaido,2010/5/7,2010,5,0,9.285714286,372,38,22,77,132,103,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
20,1,20,Hokkaido,2010/5/14,2010,5,0,13.71428571,346,30,53,59,131,73,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
21,1,21,Hokkaido,2010/5/21,2010,5,0,12.71428571,1279,17,153,199,437,473,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
22,1,22,Hokkaido,2010/5/28,2010,5,0,12.71428571,292,27,36,72,101,56,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
23,1,23,Hokkaido,2010/6/4,2010,6,0,16.14285714,287,23,41,54,111,58,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
24,1,24,Hokkaido,2010/6/11,2010,6,0,19.14285714,423,34,42,83,152,112,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
25,1,25,Hokkaido,2010/6/18,2010,6,0,20.28571429,354,8,26,42,139,139,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
26,1,26,Hokkaido,2010/6/25,2010,6,0,24,1358,74,95,216,541,432,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
27,1,27,Hokkaido,2010/7/2,2010,7,0,22.28571429,1448,139,147,219,523,420,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
28,1,28,Hokkaido,2010/7/9,2010,7,0,20.57142857,441,33,46,73,151,138,0,none,2010191N12138,CONSON,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
29,1,29,Hokkaido,2010/7/16,2010,7,1,23.57142857,1186,52,108,208,499,319,0,none,2010200N26127,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
30,1,30,Hokkaido,2010/7/23,2010,7,0,22.14285714,1326,96,139,286,509,296,0,none,2010200N26127,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
31,1,31,Hokkaido,2010/7/30,2010,7,0,23.28571429,811,44,96,195,288,188,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
32,1,32,Hokkaido,2010/8/6,2010,8,0,25.85714286,1144,56,117,304,345,322,0.256087996,none,2010218N20127,DIANMU,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
33,1,33,Hokkaido,2010/8/13,2010,8,0,24.57142857,375,20,32,67,110,146,0.007070125,none,2010218N20127,DIANMU,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
34,1,34,Hokkaido,2010/8/20,2010,8,0,24.14285714,2129,162,184,568,786,429,0,none,2010233N17119,MINDULLE,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
35,1,35,Hokkaido,2010/8/27,2010,8,0,26,262,11,22,60,93,76,0,none,2010240N15142,KOMPASU,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
36,1,36,Hokkaido,2010/9/3,2010,9,0,22.85714286,255,12,24,42,104,73,0,none,2010243N12146,MALOU,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
37,1,37,Hokkaido,2010/9/10,2010,9,0,21.57142857,278,14,12,34,132,86,0,none,2010243N12146,MALOU,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
38,1,38,Hokkaido,2010/9/17,2010,9,1,18.42857143,215,12,23,57,80,43,0,none,2010249N24125,MERANTI,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
39,1,39,Hokkaido,2010/9/24,2010,9,0,15.14285714,362,40,53,75,127,67,0,none,2010256N17137,FANAPI,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
40,1,40,Hokkaido,2010/10/1,2010,10,0,15.28571429,239,22,30,62,86,39,0,none,2010263N15149,MALAKAS,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
41,1,41,Hokkaido,2010/10/8,2010,10,1,15.71428571,145,10,18,25,62,30,0,none,2010285N13145,MEGI,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
42,1,42,Hokkaido,2010/10/15,2010,10,0,11.14285714,240,14,15,46,88,77,0,none,2010285N13145,MEGI,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
43,1,43,Hokkaido,2010/10/22,2010,10,0,8.857142857,168,6,26,33,52,51,0,none,2010293N16147,CHABA,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
44,1,44,Hokkaido,2010/10/29,2010,10,1,7.428571429,312,30,32,56,120,74,0,none,2010293N16147,CHABA,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
45,1,45,Hokkaido,2010/11/5,2010,11,0,8.285714286,192,13,4,49,66,60,0,none,2010305N06105,JAL,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
46,1,46,Hokkaido,2010/11/12,2010,11,0,4.857142857,416,20,47,71,175,103,0,none,2010315N14112,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
47,1,47,Hokkaido,2010/11/19,2010,11,1,6.857142857,358,21,34,91,137,75,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
48,1,48,Hokkaido,2010/11/26,2010,11,0,2,263,15,30,58,118,42,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
49,1,49,Hokkaido,2010/12/3,2010,12,0,4.285714286,207,21,36,30,67,53,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
50,1,50,Hokkaido,2010/12/10,2010,12,0,-0.857142857,172,9,16,27,64,56,0,none,2010346N09115,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
51,1,51,Hokkaido,2010/12/17,2010,12,1,-0.142857143,356,18,44,73,119,102,0,none,2010346N09115,UNNAMED,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
52,1,52,Hokkaido,2010/12/24,2010,12,1,-1.571428571,233,8,17,48,74,86,0,none,2010350N30175,OMEKA,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
53,1,53,Hokkaido,2010/12/31,2010,12,1,-1.857142857,435,11,26,83,187,128,0,none,,,5505,1825,829,609,387,4556,0.280127926,31.1,1.5
54,1,54,Hokkaido,2011/1/7,2011,1,1,-6.714285714,707,40,59,122,244,242,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
55,1,55,Hokkaido,2011/1/14,2011,1,0,-2.285714286,408,25,22,70,160,131,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
56,1,56,Hokkaido,2011/1/21,2011,1,0,-3.285714286,549,27,40,130,200,152,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
57,1,57,Hokkaido,2011/1/28,2011,1,0,-3.571428571,151,5,22,27,61,36,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
58,1,58,Hokkaido,2011/2/4,2011,2,0,-1.571428571,214,12,17,32,86,67,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
59,1,59,Hokkaido,2011/2/11,2011,2,1,-1.428571429,167,17,19,35,54,42,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
60,1,60,Hokkaido,2011/2/18,2011,2,0,1,484,18,54,75,166,171,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
61,1,61,Hokkaido,2011/2/25,2011,2,0,-2.285714286,163,5,15,26,70,47,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
62,1,62,Hokkaido,2011/3/4,2011,3,0,-1.428571429,656,18,71,94,273,200,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
63,1,63,Hokkaido,2011/3/11,2011,3,0,0.571428571,235,17,16,50,91,61,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
64,1,64,Hokkaido,2011/3/18,2011,3,1,1.571428571,233,14,24,39,90,66,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
65,1,65,Hokkaido,2011/3/25,2011,3,0,3,289,17,37,67,109,59,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
66,1,66,Hokkaido,2011/4/1,2011,4,0,4.714285714,375,10,49,97,137,82,0,none,2011093N10131,UNNAMED,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
67,1,67,Hokkaido,2011/4/8,2011,4,0,6.857142857,226,13,22,38,107,46,0,none,2011093N10131,UNNAMED,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
68,1,68,Hokkaido,2011/4/15,2011,4,0,6.571428571,435,30,38,72,183,112,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
69,1,69,Hokkaido,2011/4/22,2011,4,0,8.285714286,509,22,44,124,192,127,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
70,1,70,Hokkaido,2011/4/29,2011,4,1,8.571428571,227,17,44,45,70,51,0,none,,,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
71,1,71,Hokkaido,2011/5/6,2011,5,0,10.28571429,521,51,64,112,194,100,0,none,2011126N11129,AERE,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
72,1,72,Hokkaido,2011/5/13,2011,5,0,10.71428571,456,36,39,105,159,117,0,none,2011126N11129,AERE,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
73,1,73,Hokkaido,2011/5/20,2011,5,0,12.42857143,1187,106,115,218,450,298,0,none,2011140N08142,SONGDA,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
74,1,74,Hokkaido,2011/5/27,2011,5,0,14.42857143,244,31,10,37,95,71,0,none,2011140N08142,SONGDA,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
75,1,75,Hokkaido,2011/6/3,2011,6,0,17,1152,92,147,221,444,248,0,none,2011140N08142,SONGDA,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
76,1,76,Hokkaido,2011/6/10,2011,6,0,15.85714286,326,16,43,58,124,85,0,none,2011159N13122,SARIKA,5484,1869,844,619,406,4556,0.280127926,31.1,1.5
