"region_id","typhoon_no","mean","typhoon_name","year","order_key","ty_label"
1,"2018239N11161",1.00221321371468,"JEBI",2018,452,"2018-JEBI"
2,"2016244N21123",1.51168000918828,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
2,"2018239N11161",1.06722733310959,"JEBI",2018,452,"2018-JEBI"
3,"2010218N20127",1.28101107057312,"DIANMU",2010,32,"2010-DIANMU"
3,"2012263N15141",1.43245112437865,"JELAWAT",2012,142,"2012-JELAWAT"
3,"2013255N20148",0.920467094704101,"MAN-YI",2013,194,"2013-MAN-YI"
3,"2014275N06166",1.2535660465269,"VONGFONG",2014,249,"2014-VONGFONG"
3,"2016230N15138",1.02169815825984,"MINDULLE",2016,346,"2016-MINDULLE"
3,"2016244N21123",2.31798282842549,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
3,"2018263N12146",0.93533693569336,"TRAMI",2018,457,"2018-TRAMI"
3,"2019278N16165",1.05162910431402,"HAGIBIS",2019,511,"2019-HAGIBIS"
4,"2010218N20127",0.990960335891733,"DIANMU",2010,32,"2010-DIANMU"
4,"2011253N20145",0.826723269303808,"ROKE",2011,90,"2011-ROKE"
4,"2012263N15141",1.76299637692223,"JELAWAT",2012,142,"2012-JELAWAT"
4,"2013255N20148",1.08590903154534,"MAN-YI",2013,194,"2013-MAN-YI"
4,"2014275N06166",0.866336044465221,"VONGFONG",2014,249,"2014-VONGFONG"
4,"2016230N15138",1.7509218445035,"MINDULLE",2016,346,"2016-MINDULLE"
4,"2016244N21123",2.0342638407402,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
4,"2018263N12146",1.11019811250116,"TRAMI",2018,457,"2018-TRAMI"
4,"2019278N16165",1.0718124267863,"HAGIBIS",2019,511,"2019-HAGIBIS"
5,"2010218N20127",0.715683656402635,"DIANMU",2010,32,"2010-DIANMU"
5,"2016244N21123",0.608396642419449,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
5,"2018239N11161",0.719814176533375,"JEBI",2018,452,"2018-JEBI"
